"Webapi Metrics","Webapi Metrics"
"Could not save the loggingEntry: %1","Could not save the loggingEntry: %1"
"LoggingEntry with id ""%1"" does not exist.","LoggingEntry with id ""%1"" does not exist."
"Could not delete the LoggingEntry: %1","Could not delete the LoggingEntry: %1"
"Could not save the loggingRoute: %1","Could not save the loggingRoute: %1"
"LoggingRoute with id ""%1"" does not exist.","LoggingRoute with id ""%1"" does not exist."
"Could not delete the LoggingRoute: %1","Could not delete the LoggingRoute: %1"
FireGento,FireGento
